問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解番号(0-3),カテゴリー(パーティ/歴史/マインクラフト/F1),難易度(1-5)
角田裕毅が2025年シーズン終了後に就いたポジションは何か？,レーシングブルズのレギュラードライバー,レッドブルのリザーブドライバー,ホンダのテストドライバー,アストンマーティンのリザーブドライバー,1,F1,3
2025年のF1プレシーズンテストが行われたサーキットはどこか？,カタロニア・サーキット,バーレーン・インターナショナル・サーキット,ヤス・マリーナ・サーキット,鈴鹿サーキット,1,F1,2
2025年の第9戦スペインGPで、ランス・ストロールが欠場した主な理由は何か？,新型コロナウイルス感染,手と手首の怪我の悪化,チームとの契約トラブル,個人的な理由による休暇,1,F1,3
2025年シーズン、ザウバー（キック・ザウバー）からデビューしたブラジル人ドライバーは誰か？,フェリペ・ドルゴヴィッチ,エンツォ・フィッティパルディ,ガブリエル・ボルトレト,カイオ・コレ,2,F1,3
2025年シーズン、アルピーヌのリザーブドライバーからザウバーへ期限付き移籍したドライバーは誰か？,ジャック・ドゥーハン,ポール・アロン,ビクター・マルタンス,クッシュ・マイニ,1,F1,4
2025年のF1世界選手権において、スプリントレースが開催された回数は合計何回か？,3回,5回,6回,8回,2,F1,3
2025年シーズン、角田裕毅がレッドブル昇格前に所属していたチームの名称変更後の正式名は何か？,スクーデリア・アルファタウリ,トロ・ロッソ,ビザ・キャッシュアップ・レーシングブルズ・フォーミュラワン・チーム,レッドブル・ジュニア・チーム,2,F1,2
2025年の不適切なコメントへの罰則規定変更で、F1ドライバー（レベル4）に対する罰金額は基準の何倍に設定されたか？,2倍,3倍,4倍,5倍,2,F1,4
2025年のF1最終戦アブダビGPで優勝したドライバーは誰か？,ランド・ノリス,シャルル・ルクレール,マックス・フェルスタッペン,オスカー・ピアストリ,2,F1,3
角田裕毅のF1キャリアにおいて、2024年シーズンのドライバーズランキングは何位だったか？,10位,12位,14位,16位,1,F1,3
シャルル・ルクレールが休暇中に婚約者や友人と訪れたテーマパークはどこか？,ディズニーランド・パリ,ユニバーサル・スタジオ（LA）,フェラーリ・ワールド,東京ディズニーシー,1,F1,4
ピエール・ガスリーがアンバサダーを務め、チャリティガラに出席した団体はどこか？,赤十字社,ユニセフ,メイク・ア・ウィッシュ（フランス）,セーブ・ザ・チルドレン,2,F1,4
2025年シーズン、レッドブル・レーシングのマシン名称は何か？,RB20,RB21,RB22,RB25,1,F1,2
角田裕毅がF1参戦時に選択した固定カーナンバーはいくつか？,11,18,22,38,2,F1,1
2025年シーズンの開幕前に開催されたキックオフイベント『F1 75』の日付（現地時間）はいつか？,2月10日,2月18日,2月25日,3月1日,1,F1,4
2025年シーズン、角田裕毅のマネージャーとして新たに起用された人物は誰か？,マリオ・宮川,ディエゴ・メンチャカ,アレクサンダー・アルボン,佐藤琢磨,1,F1,4
角田裕毅が2025年オーストリアGPから使用を開始したヘルメットメーカーはどこか？,アライ（Arai）,ベル（Bell）,シューベルト（Schuberth）,スティロ（Stilo）,2,F1,3
2025年カナダGPで角田裕毅が達成したF1における節目は何か？,初優勝,初表彰台,通算100戦出走,通算500ポイント獲得,2,F1,3
2025年シーズン終了後、角田裕毅の2026年におけるステータスはどうなると発表されたか？,レッドブルのレギュラードライバー,レーシングブルズへの復帰,レッドブルのリザーブ兼テストドライバー,ハースへの移籍,2,F1,3
2025年のドライバーズランキングにおいて、ルイス・ハミルトンの最終順位は何位だったか？,4位,5位,6位,7位,2,F1,3
2025年のドライバーズランキングにおいて、ランド・ノリスとマックス・フェルスタッペンのポイント差は何ポイントだったか？,1ポイント,2ポイント,5ポイント,10ポイント,1,F1,5
2025年、マクラーレンが獲得したコンストラクターズポイントの合計は何点か？,833点,750点,600点,469点,0,F1,4
2025年シーズン、ペナルティポイントが最も多かったドライバー（10ポイント）は誰か？,ケビン・マグヌッセン,ランス・ストロール,オリバー・ベアマン,角田裕毅,2,F1,4
2025年シーズン、戒告処分（ドライビングに関するもの）が最も多かったドライバーは誰か？,アレクサンダー・アルボン,角田裕毅,リアム・ローソン,ピエール・ガスリー,0,F1,5
2025年のウィンターブレイク中、アレクサンダー・アルボンがパートナーと訪れた場所はどこか？,モルディブ,ブータン,京都,アスペン,1,F1,4
2025年のウィンターブレイク中、マックス・フェルスタッペンがポルトガルで行ったテスト走行で使用した車両は何か？,レッドブル RB19,ポルシェ 911 GT3,メルセデス AMG GT3,フェラーリ 296 GT3,2,F1,5
ピエール・ガスリーがアンバサダーを務めるチャリティ団体「メイク・ア・ウィッシュ」の活動目的は何か？,海洋プラスチックの削減,重い病気と闘う子供たちの夢を叶える,モータースポーツへの若手支援,交通事故の撲滅,1,F1,3
リアム・ローソンがニュージーランドで行ったチャリティイベントで支援した研究分野は何か？,乳がん研究,気候変動研究,交通安全技術,若年性アルツハイマー,0,F1,4
2025年のウィンターブレイク中、シャルル・ルクレールがトレーニングの一環として行ったスポーツは何か？,トライアスロン,クロスカントリースキー,キックボクシング,ロッククライミング,1,F1,4
2025年の7月のミニブレイク中、ウィンブルドン選手権（テニス）を観戦したドライバーに含まれないのは誰か？,ジョージ・ラッセル,オリバー・ベアマン,リアム・ローソン,ランド・ノリス,3,F1,4
ピエール・ガスリーがウィンブルドンで対面したテニス界のレジェンドは誰か？,ロジャー・フェデラー,ラファエル・ナダル,ノバク・ジョコビッチ,アンディ・マレー,0,F1,3
2025年のグッドウッド・フェスティバル・オブ・スピードに参加し、歴史的なF1マシンを運転したハースのチーム代表は誰か？,ギュンター・シュタイナー,小松礼雄（Ayao Komatsu）,フランツ・トスト,アンドレア・ステラ,1,F1,3
2025年のモナコ・ダイヤモンドリーグ（陸上競技）を観戦したF1ドライバーの組み合わせはどれか？,ルクレールとピアストリ,ノリスとフェルスタッペン,ハミルトンとラッセル,サインツとアロンソ,0,F1,4
2025年シーズン、アストンマーティンの開発ドライバーとして起用されたアメリカ人ドライバーは誰か？,ローガン・サージェント,ジャック・クロフォード,コルトン・ハータ,ジョセフ・ニューガーデン,1,F1,3
2025年の第22戦ラスベガスGP直前に、キミ・アントネッリがトリノで観戦したスポーツは何か？,NBA,ATPファイナルズ（テニス）,セリエA（サッカー）,ボクシング世界戦,1,F1,3
シャルル・ルクレールが立ち上げたライフスタイルブランドのプロモーションビデオに登場した愛犬の名前は何か？,ロスコ（Roscoe）,レオ（Leo）,ココ（Coco）,シンバ（Simba）,1,F1,2
オスカー・ピアストリが受賞した「ザ・ドン（The Don）」賞は、どこの国のスポーツ殿堂が授与するものか？,イギリス,イタリア,オーストラリア,モナコ,2,F1,2
2025年のラスベガスGP前に、ランド・ノリスが観戦したNFLのチームはどこか？,ラスベガス・レイダース,ダラス・カウボーイズ,カンザスシティ・チーフス,サンフランシスコ・49ers,0,F1,3
2026年シーズンからの参戦に向けて、2025年後半にリバリーコンセプトを発表したメーカーはどこか？,ポルシェ,アウディ,フォード,トヨタ,1,F1,2
2025年の夏休み中、ルイス・ハミルトンと共に雑誌『Vogue（Dogue）』の特集に登場したのは誰（何）か？,愛犬のロスコ,ジョージ・ラッセル,トト・ウォルフ,愛車のコブラ,0,F1,2
2025年の夏休み中、カルロス・サインツがボートから行ったダイビングの深さは何メートルとされているか？,5メートル,11メートル,20メートル,30メートル,1,F1,5
2025年シーズン、レッドブル・レーシングのチーム代表を務めているのは誰か？,クリスチャン・ホーナー,ヘルムート・マルコ,エイドリアン・ニューウェイ,ジョナサン・ウィートリー,0,F1,2
2025年シーズン、ビザ・キャッシュアップ・レーシングブルズのCEOを務めているのは誰か？,フランツ・トスト,ピーター・バイエル,ローラン・メキース,ザク・ブラウン,1,F1,4
2025年のドライバーズランキングで12位となったドライバーは誰か？,角田裕毅,アイザック・ハジャー,ニコ・ヒュルケンベルグ,オリバー・ベアマン,1,F1,4
2025年のドライバーズランキングにおいて、角田裕毅の最終順位は何位か？,12位,14位,17位,19位,2,F1,3
2025年シーズン、マクラーレン・メルセデスのパワーユニット名称は何か？,メルセデス M16 E Performance,メルセデス F1 M15,メルセデス-AMG F1 W16,BWT メルセデス,0,F1,4
2025年シーズン、アルピーヌのシャシー名称は何か？,A524,A525,A610,A110,1,F1,3
2025年シーズン、ウィリアムズのシャシー名称は何か？,FW45,FW46,FW47,FW48,2,F1,3
2025年シーズン、ハースF1チームのシャシー名称は何か？,VF-24,VF-25,VF-26,VF-75,1,F1,3
2025年シーズン、フェラーリのリザーブドライバーを務めた中国人ドライバーは誰か？,マー・チンホワ,周冠宇,イェ・イーフェイ,フランキー・チェン,1,F1,2
2025年シーズン、メルセデスのリザーブドライバーに就任したベテランドライバーは誰か？,ミック・シューマッハ,バルテリ・ボッタス,セバスチャン・ベッテル,ダニエル・リカルド,1,F1,2
2025年のF1アカデミーに関する記述として正しいものはどれか？,開催されていない,F1のサポートレースとして開催された,男子ドライバーも参加可能になった,アジア地域限定で開催された,1,F1,2
2025年のイギリスGPで優勝したドライバーは誰か？,ジョージ・ラッセル,ルイス・ハミルトン,ランド・ノリス,マックス・フェルスタッペン,2,F1,3
2025年のオランダGPで優勝したドライバーは誰か？,マックス・フェルスタッペン,ランド・ノリス,オスカー・ピアストリ,シャルル・ルクレール,2,F1,3
2025年シーズン、フェルナンド・アロンソが所属したチームはどこか？,アルピーヌ,アストンマーティン,マクラーレン,メルセデス,1,F1,1
2025年シーズン、ランス・ストロールのチームメイトは誰か？,セバスチャン・ベッテル,フェルナンド・アロンソ,フェリペ・ドルゴヴィッチ,角田裕毅,1,F1,1
2025年シーズン、アルピーヌのドライバーラインナップとして正しい組み合わせはどれか？,ガスリーとオコン,ガスリーとドゥーハン（およびコラピント）,オコンとドゥーハン,ガスリーとシューマッハ,1,F1,3
2025年シーズン、ハースのドライバーラインナップとして正しい組み合わせはどれか？,ヒュルケンベルグとマグヌッセン,オコンとベアマン,オコンとマグヌッセン,ヒュルケンベルグとベアマン,1,F1,3
2025年シーズン、ザウバー（キック・ザウバー）のドライバーラインナップとして正しい組み合わせはどれか？,ボッタスと周,ヒュルケンベルグとボルトレト,ヒュルケンベルグとサインツ,ボルトレトとアロン,1,F1,3
2025年シーズン、ウィリアムズのドライバーラインナップとして正しい組み合わせはどれか？,アルボンとサージェント,アルボンとサインツ,サインツとコラピント,アルボンとボルトレト,1,F1,2
2025年シーズン、角田裕毅がレッドブルに昇格した際、入れ替わりでレーシングブルズに加入（復帰）したドライバーは誰か？,リアム・ローソン,アイザック・ハジャー,岩佐歩夢,ダニエル・リカルド,0,F1,2
2025年の日本GP決勝で、角田裕毅が記録した順位は何位か？,8位,10位,12位,リタイア,2,F1,3
2025年のサウジアラビアGP決勝で、角田裕毅が接触した相手は誰か？,ピエール・ガスリー,エステバン・オコン,ケビン・マグヌッセン,ランス・ストロール,0,F1,4
2025年のマイアミGPスプリントレースで、角田裕毅は何位に入賞したか（繰り上げ後）？,6位,8位,10位,12位,0,F1,4
角田裕毅が2025年シーズンに所属したチームの正しい変遷はどれか？,レーシングブルズのみ,レッドブルのみ,レーシングブルズからレッドブルへ昇格,レッドブルからレーシングブルズへ降格,2,F1,2
2025年のレギュレーション変更で導入された「ドライバー冷却システム」を使用する際、マシンの最低重量は何kg増加するか？,2kg,3kg,5kg,10kg,2,F1,4
2025年シーズンの技術規定変更で、リアウイングのギャップ（隙間）の許容範囲は従来の2mmから何mmに縮小されたか？,1.5mm,1.0mm,0.5mm,0.1mm,2,F1,5
2025年シーズンより、ルーキードライバーのフリープラクティス（FP）起用義務は、マシン1台につき年間何回になったか？,1回,2回,3回,4回,3,F1,3
2025年のモナコGPより導入された特別ルールにおいて、ドライバーに義務付けられたことは何か？,ハードタイヤの使用禁止,最低2回のピットストップ,予選Q3の周回数制限,DRSの常時使用許可,1,F1,4
2025年の競技規定変更により、マシンに大きな損傷がある場合、チームがドライバーに指示できるようになった内容は何か？,ピットに戻らずコース外に停車してリタイアする,ピットレーンでの修理を優先する,セーフティカー導入まで走行を続ける,周回遅れになるまで待機する,0,F1,4
2025年シーズンよりスクーデリア・フェラーリのタイトルスポンサーに就任した企業はどこか？,Santander,HP Inc.,Oracle,Cognizant,1,F1,2
2025年シーズンよりウィリアムズのタイトルスポンサーに就任した企業はどこか？,Komatsu,Gulf,Atlassian,Duracell,2,F1,3
2025年シーズン、ビザ・キャッシュアップ・レーシングブルズのチーム代表を務めているのは誰か？,フランツ・トスト,ローラン・メキース,ピーター・バイエル,ジョディ・エギントン,1,F1,3
2025年シーズン途中、レッドブル・レーシングでセルジオ・ペレスの後任として昇格したドライバーは誰か？,リアム・ローソン,ダニエル・リカルド,角田裕毅,アイザック・ハジャー,2,F1,2
2025年シーズン途中、角田裕毅のレッドブル昇格に伴いレーシングブルズに復帰したドライバーは誰か？,リアム・ローソン,岩佐歩夢,ダニエル・リカルド,デニス・ハウガー,0,F1,2
2025年のF1中国GP決勝後、最低重量およびプランク規則違反で失格となったのはどのドライバーたちか？,ハミルトンとラッセル,フェラーリの2台とピエール・ガスリー,マクラーレンの2台,アロンソとストロール,1,F1,4
2025年のF1世界選手権の開幕戦として開催されたグランプリはどこか？,バーレーンGP,サウジアラビアGP,オーストラリアGP,日本GP,2,F1,2
2025年のプレシーズンテストが開催された場所はどこか？,カタロニア・サーキット,バーレーン・インターナショナル・サーキット,鈴鹿サーキット,ヤス・マリーナ・サーキット,1,F1,2
2025年シーズンの全チーム合同発表会イベント『F1 75』が開催された日付（現地時間）はいつか？,2月10日,2月18日,2月25日,3月1日,1,F1,4
2025年シーズンの開幕時、レーシングブルズで角田裕毅のチームメイトだったドライバーは誰か？,ダニエル・リカルド,リアム・ローソン,アイザック・ハジャー,岩佐歩夢,2,F1,3
2025年シーズン途中からレッドブル・レーシングにおける角田裕毅のチームメイトとなったドライバーは誰か？,セルジオ・ペレス,マックス・フェルスタッペン,リアム・ローソン,カルロス・サインツ,1,F1,2
角田裕毅が2025年シーズン途中からヘルメットメーカーをアライからシューベルトに変更した主な理由は何か？,スポンサー契約の変更,レッドブルのマシン設計（空力）への適合,軽量化のため,デザインの好み,1,F1,4
角田裕毅が2023年に契約していたマネージャーは誰か（2025年に変更される前）？,ディエゴ・メンチャカ,マリオ・宮川,ヘルムート・マルコ,フランツ・トスト,1,F1,4
角田裕毅がF1通算100戦目を迎えたグランプリにおいて、記念として施されたことは何か？,特別デザインのレーシングスーツ着用,マシンの特別カラーリング,ヘルメットへの特別デザイン,カーナンバーの変更,2,F1,3
角田裕毅がドライバー・オブ・ザ・デイに選出された2025年のグランプリはどこか？,オーストラリアGP,日本GP,マイアミGP,モナコGP,1,F1,3
2025年のサウジアラビアGP決勝で、角田裕毅が接触しリタイアとなった相手は誰か？,ケビン・マグヌッセン,ピエール・ガスリー,ランス・ストロール,エステバン・オコン,1,F1,4
2025年のオーストラリアGPで、角田裕毅が12位に終わった主な要因となった戦略ミスは何か？,ピットストップの遅れ,ステイアウトの指示（雨待ち）,タイヤ選択ミス,燃料計算ミス,1,F1,4
2025年の中国GPスプリントレースで、角田裕毅は何位でフィニッシュしたか？,4位,6位,8位,10位,1,F1,4
2025年のマイアミGPスプリントレースで、角田裕毅は何位に入賞したか（ペナルティによる繰り上げ後）？,6位,8位,9位,10位,0,F1,4
角田裕毅が2018年にシリーズチャンピオンを獲得したカテゴリーはどれか？,FIA-F4日本選手権,全日本F3選手権,スーパーフォーミュラ・ライツ,フォーミュラ・ルノー,0,F1,3
角田裕毅がF1デビューを果たした年はいつか？,2019年,2020年,2021年,2022年,2,F1,2
角田裕毅がカーナンバー「22」を選択した理由として正しいものはどれか？,誕生日の数字,尊敬するドライバーの番号,希望した「11」が使用中だったため1+1=22とした,ラッキーナンバーだから,2,F1,2
2025年の9月、エステバン・オコンが29歳の誕生日を祝った場所はどこか？,パリの自宅,バクーへ向かう飛行機の中,チームのファクトリー,モナコのヨット上,1,F1,3
2025年の9月、角田裕毅がサン・シーロ（スタジアム）で対面したサッカー選手は誰か？,キリアン・エムバペ,ルカ・モドリッチ,クリスティアーノ・ロナウド,リオネル・メッシ,1,F1,3
2025年の9月の休み中、ランド・ノリスとキミ・アントネッリが訪れたスポーツイベントは何か？,テニスの全米オープン,MotoGP（サンマリノGP）,ラグビーワールドカップ,自転車のツール・ド・フランス,1,F1,3
ランド・ノリスがMotoGP観戦時に対面し、感激した子供時代のヒーローは誰か？,マルク・マルケス,バレンティーノ・ロッシ,ケーシー・ストーナー,ホルヘ・ロレンソ,1,F1,3
2025年のラスベガスGP前、シャルル・ルクレールがユニバーサル・スタジオで着ていたコスチュームのキャラクターは何か？,スパイダーマン,マリオ,ミニオン,ハリー・ポッター,1,F1,3
シャルル・ルクレールの婚約者がユニバーサル・スタジオで着ていたコスチュームのキャラクターは何か？,ピーチ姫,ヨッシー,ルイージ,キノピオ,1,F1,4
2025年後半、ミュンヘンでアウディの2026年リバリーコンセプトを最初に見学したドライバーの組み合わせは誰か？,サインツとヒュルケンベルグ,ヒュルケンベルグとボルトレト,ボッタスと周,ボルトレトとアロンソ,1,F1,3
オスカー・ピアストリが受賞した「ザ・ドン（The Don）」賞は、どの殿堂が授与するものか？,国際モータースポーツ殿堂,スポーツ・オーストラリア殿堂,イギリス・スポーツ殿堂,F1殿堂,1,F1,4
2025年のラスベガスGP前に、ランド・ノリスが観戦したNFLのチームはどこか？,カンザスシティ・チーフス,ラスベガス・レイダース,ダラス・カウボーイズ,マイアミ・ドルフィンズ,1,F1,3
2025年の夏休み中、ルイス・ハミルトンと共に雑誌『Vogue（Dogue）』の特集に登場したのは誰か？,ジョージ・ラッセル,愛犬のロスコ,トト・ウォルフ,ブラッド・ピット,1,F1,2
2025年の夏休み中、カルロス・サインツがボートから素潜りで到達した深さは何メートルか？,5メートル,11メートル,20メートル,30メートル,1,F1,5
2025年のウィンターブレイク中、アレクサンダー・アルボンと一緒にブータンを旅行したのは誰か？,ジョージ・ラッセル,リリー・ムニ・ヘ（パートナー）,角田裕毅,ジェームズ・ボウルズ,1,F1,4
2026年に向けて、ウィンターブレイク中にムンバイ（インド）を訪れルーツに触れたドライバーは誰か？,アービッド・リンドブラッド,クッシュ・マイニ,ジハン・ダルバラ,アイザック・ハジャー,0,F1,4
2025年のグッドウッド・フェスティバル・オブ・スピードで、歴史的なF1マシンを運転した現役ドライバーの組み合わせはどれか？,ハミルトン・ラッセル・ノリス,オコン・ベアマン・ボルトレト,フェルスタッペン・ペレス・角田,アロンソ・ストロール・サインツ,1,F1,4
2025年のグッドウッド・フェスティバル・オブ・スピードに参加し、走行を行ったハースのチーム代表は誰か？,ギュンター・シュタイナー,小松礼雄,フランツ・トスト,マイク・クラック,1,F1,3
2025年の7月、モナコ・ダイヤモンドリーグ（陸上競技）を観戦したF1ドライバーは誰か？,ルクレールとピアストリ,ハミルトンとラッセル,フェルスタッペンとノリス,ガスリーとオコン,0,F1,4
2025年のウィンブルドン選手権で、ピエール・ガスリーが対面したテニス界のレジェンドは誰か？,ロジャー・フェデラー,ラファエル・ナダル,アンディ・マレー,セリーナ・ウィリアムズ,0,F1,3
ピエール・ガスリーがアンバサダーを務めているチャリティ団体はどこか？,セーブ・ザ・チルドレン,メイク・ア・ウィッシュ（フランス）,赤十字社,ユニセフ,1,F1,3
リアム・ローソンがニュージーランドでのチャリティイベントで支援した研究分野は何か？,乳がん研究,小児がん研究,心臓病研究,交通事故防止研究,0,F1,4
2025年のシーズン終了直後、マックス・フェルスタッペンがポルトガルで行ったテストで使用した車両は何か？,レッドブル RB19,メルセデス GT3,フェラーリ 488 GT3,ポルシェ 911 GT3 Cup,1,F1,5
2025年のウィンターブレイク中、エステバン・オコンが訪れた場所はどこか？,モルディブのビーチ,昔通っていたカートコース,アルプスのスキー場,ドバイの砂漠,1,F1,4
2025年のF1アブダビGPで「ドライバー・オブ・ザ・デイ」に選ばれたのは誰か？,シャルル・ルクレール,マックス・フェルスタッペン,ランド・ノリス,角田裕毅,1,F1,3
2025年のF1イタリアGPで「ドライバー・オブ・ザ・デイ」に選ばれたのは誰か？,アンドレア・キミ・アントネッリ,マックス・フェルスタッペン,シャルル・ルクレール,フェルナンド・アロンソ,1,F1,3
2025年のウィンターブレイク中、アレクサンダー・アルボンがパートナーと訪れ、山道を探索した国はどこか？,ネパール,ブータン,ペルー,ニュージーランド,1,F1,5
2025年シーズンからRB（レーシングブルズ）に加入し、ムンバイを訪れて自身のルーツに触れたルーキードライバーは誰か？,アイザック・ハジャー,アービッド・リンドブラッド,クッシュ・マイニ,ジャック・ドゥーハン,1,F1,4
2025年のウィンターブレイク中に、チャリティオークションの勝者にホットラップ体験を提供し、乳がん研究のために資金を募ったドライバーは誰か？,オスカー・ピアストリ,バルテリ・ボッタス,リアム・ローソン,ピエール・ガスリー,2,F1,4
2025年のウィンターブレイク中、マックス・フェルスタッペンがメルセデスGT3マシンでテストを行った国はどこか？,ドイツ,スペイン,ポルトガル,イタリア,2,F1,5
2025年の夏休み中、カルロス・サインツが家族とのボート旅行中に素潜りで到達した深さは何メートルか？,5メートル,11メートル,18メートル,25メートル,1,F1,5
オスカー・ピアストリが2025年の夏休みに発表した、2026年からオーストラリアGPに設置されるものの名前は何か？,ピアストリ・スタンド,オスカー・アベニュー,ピアストリ・グランドスタンド,オスカー・コーナー,2,F1,3
2025年の夏休み中、ルイス・ハミルトンと共に雑誌『Vogue（Dogue）』に登場した愛犬の名前は何か？,レオ,ココ,ロスコ,トト,2,F1,2
2025年の7月のミニブレイク中、グッドウッド・フェスティバル・オブ・スピードで歴史的なF1マシンを運転したハースのチーム代表は誰か？,ギュンター・シュタイナー,小松礼雄,フランツ・トスト,マイク・クラック,1,F1,3
2025年の7月、ウィンブルドン選手権を観戦したドライバーの中に含まれないのは誰か？,ジョージ・ラッセル,オリバー・ベアマン,リアム・ローソン,マックス・フェルスタッペン,3,F1,4
2025年のモナコ・ダイヤモンドリーグ（陸上）を観戦し、世界記録保持者のモンド・デュプランティスと対面したドライバーは誰か？,ルクレールとピアストリ,ノリスとラッセル,ハミルトンとガスリー,サインツとアロンソ,0,F1,4
2025年、角田裕毅がF1通算100戦目を迎えたグランプリはどこか？,日本GP,モナコGP,カナダGP,イギリスGP,2,F1,3
角田裕毅が2025年シーズン途中から、ヘルメットメーカーをアライからどこに変更したか？,ベル（Bell）,スティロ（Stilo）,シューベルト（Schuberth）,シンプソン（Simpson）,2,F1,3
